No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,35804.19,28.75,119.24,-3.15%,1196762
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,7935.39,11.29,42.25,-1.12%,4269158
3,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,9682.62,,14.77,9.98%,74670701
4,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,11214.24,20.47,183.84,1.15%,787279
5,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2349692.3,23.71,145.86,0.68%,77443783
6,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,28.99,,0.22,-5.45%,302176
7,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1682.7,3.93,60.42,-0.12%,206883
8,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4129.71,10.42,41.01,-0.02%,211272
9,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,52129.04,11.2,26.42,-0.08%,2693882
10,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,267914.92,21.87,152.46,-0.50%,5306756
11,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,2844.92,8.56,40.94,0.59%,309816
12,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,38666.45,15.79,2.51,-2.33%,32751437
13,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2868.52,20.04,42.75,-1.06%,213292
14,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2204.36,7.1,13.83,0.58%,1660125
15,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,190026.43,25,108.3,-0.54%,5756261
16,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,382.26,,2.57,-0.39%,863154
