No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,39836.46,31.62,131.11,2.66%,1861366
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8705.32,9.68,49.08,2.79%,5072687
3,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1232.47,98.7,9.87,0.10%,705302
4,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,9198.7,,13.76,-1.50%,35649244
5,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,400.74,4.47,12.84,0.08%,1011491
6,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3177.69,52.45,59.01,2.50%,90166
7,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,11500.01,21.27,191.03,2.75%,773706
8,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2567563.45,25.58,157.35,0.36%,79325283
9,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,392,,9.8,0.00%,1221
10,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1838.9,48.28,30.27,1.37%,201221
11,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2026.63,4.76,73.19,2.72%,561692
12,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4297.92,10.8,42.52,2.09%,311216
13,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,58140.21,13.51,29.55,2.36%,2158530
14,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,263341.36,21.48,149.75,-0.93%,6560256
15,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30413.94,17.78,145.57,0.34%,639230
16,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3240.33,9.69,46.35,1.27%,511905
17,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,3085.61,15.95,10.43,-0.76%,945249
