1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",38053.55,32.26,133.77,-0.59%,895554
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",8078.04,9.44,47.85,-1.32%,4489944
3,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9839.85,,14.86,1.57%,27004242
4,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",11154.54,21.33,191.56,-1.90%,530842
5,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2589206.02,27.40,165.81,-0.19%,55372198
6,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",2646.37,6.49,99.75,3.07%,8903353
7,"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland",56830.72,13.77,30.12,1.24%,1064917
8,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",258556.51,19.93,138.92,-1.61%,7068991
9,"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA",29000.19,17.01,139.27,0.19%,1576220
10,"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology","Canada",3374.75,17.32,11.33,3.19%,1342673
11,"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers","Brazil",43466.08,16.95,2.78,2.21%,27360136
12,"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","USA",73403.75,102.07,119.22,3.65%,9160907
13,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",2390.95,8.02,15.62,1.10%,2194445
14,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",194142.96,22.80,109.72,0.10%,2792447
15,"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology","USA",392.43,,2.54,3.25%,1592173
16,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",2535.28,,15.62,4.34%,1801630
17,"ACB","Aurora Cannabis Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",423.34,,1.52,-1.30%,6947897
18,"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential","USA",9119.29,286.80,65.39,0.02%,5737887
19,"ACCD","Accolade, Inc.","Healthcare","Health Information Services","USA",799.92,,11.47,4.56%,756461
20,"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies","USA",696.34,5.79,7.12,-0.42%,428928
21,"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology","USA",743.14,,18.25,4.29%,196107
22,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",16041.64,10.67,43.55,0.11%,1053398
23,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",6921.13,26.56,80.76,-1.44%,409892
24,"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense","USA",990.63,,4.55,3.41%,1654150
25,"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores","USA",14132.71,10.00,26.80,0.04%,2457146
26,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",3052.08,22.09,27.19,-4.60%,1129183
27,"ACM","AECOM","Industrials","Engineering & Construction","USA",9799.85,35.85,71.49,-0.04%,656952
28,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",1001.72,30.37,18.01,4.10%,621164
29,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",190876.05,30.13,310.61,0.79%,1624564
